form	lemma	POS	morph
ཇ་	ཇ་	OTHER
ནང་རྗེ་	ནང་རྗེ་	NO_POS
བཙུན་	བཙུན་	VERB
ཐམས་ཅད་	ཐམས་ཅད་	DET
མཀྱེན་པ་	མཀྱེན་པ་	NON_WORD
ཏཱ་ར་	ཏཱ་ར་	PROPN
ནཱ་	ནཱ་	NO_POS
ཐ་	ཐ་	NOUN
འི་	གི་	PART
བཀའ་འབུམ་	བཀའ་འབུམ་	NOUN
དཔེ་	དཔེ་	NOUN
བསྡུ་	བསྡུ་	VERB
ར་	ལ་	PART
མ་	མ་	PART
འི་	གི་	PART
དཀར་ཆག་	དཀར་ཆག་	NOUN
ཤཱམས་		NON_WORD
ས་	ས་	ADP
།		PUNCT
སྡུ་	སྡུ་	NO_POS
ཤཱརྙི་		NON_WORD
།		PUNCT
མ་	མ་	PART
།་		PUNCT
རཱ་པ་	རཱ་པ་	NO_POS
ས་	གིས་	PART
ཁྱིམ་	ཁྱིམ་	NOUN
བཅི་		NON_WORD
		
བཏམ་	བཏམ་	NO_POS
ས་	ས་	ADP
མ་	མ་	OTHER
སྨོ་		NON_WORD
		
མ་	མ་	PART
འི་	གི་	PART
		
		
		
ཛོ་	ཛོ་	NO_POS
༄༅། །		PUNCT
ཇོ་	ཇོ་	NO_POS
ནང་རྗེ་	ནང་རྗེ་	NO_POS
བཙུན་	བཙུན་	VERB
ཐམས་ཅད་	ཐམས་ཅད་	DET
མཁྱེན་པ་	མཁྱེན་པ་	VERB
ཏཱ་ར་	ཏཱ་ར་	PROPN
ནཱ་	ནཱ་	NO_POS
ཐ་	ཐ་	NOUN
འི་	གི་	PART
བཀའ་འབུམ་	བཀའ་འབུམ་	NOUN
དཔེ་	དཔེ་	NOUN
བསྡུ་	བསྡུ་	VERB
ར་	ལ་	PART
མ་	མ་	PART
འི་	གི་	PART
དཀར་ཆག་	དཀར་ཆག་	NOUN
བསྡོཡིནས་		NON_WORD
ཐེདུ་		NON_WORD
། །		PUNCT
བོད་	བོད་	PROPN
།		PUNCT
		
		
སྟོད་	སྟོད་	NOUN
།		PUNCT
རྒྱལ་ཁམས་པ་	རྒྱལ་ཁམས་པ་	NOUN
ཏཱ་ར་	ཏཱ་ར་	PROPN
ནཱ་	ནཱ་	NO_POS
ཐསྣརྣམ་		NON_WORD
ཐར་མ་	ཐར་མ་	NO_POS
བཅོ་	བཅོ་	NUM
ས་	གིས་	PART
ལྷུག་པ་	ལྷུག་པ་	NO_POS
